second,cpu,memory,phase
1,0.1622314665308306,131.29864501953125,idle
2,0.07790190110395052,134.90802001953125,idle
3,0.02697574383528052,136.73614501953125,idle
4,0.08083615671790965,137.42364501953125,cpu
5,0.0079288119712761,137.40802001953125,cpu
6,0.01094013379079734,136.95489501953125,cpu
7,0.006329135311002718,136.95489501953125,cpu
8,0.055567718526768596,296.6114501953125,memory
9,0.006449995991405819,296.6114501953125,memory
10,0.016026479623076455,296.4552001953125,memory
11,0.017399554971558984,296.4395751953125,memory
12,0.030818452317091547,296.5177001953125,stopped
13,0.011532412201305893,296.5020751953125,stopped
