second,cpu,memory,phase
1,0.31473476740289374,130.82977294921875,idle
2,0.05188443057637141,135.267333984375,idle
3,0.013170576197694768,136.314208984375,idle
4,0.00965104823622828,136.314208984375,idle
5,0.07054409020414255,135.767333984375,idle
6,0.0116525413882986,136.157958984375,idle
7,0.011180031177547664,136.204833984375,idle
8,0.006708706722628355,135.829833984375,idle
9,0.013659861240201477,136.204833984375,idle
10,0.01074256924416459,136.501708984375,idle
11,0.01461597975353615,136.392333984375,idle
12,0.011716099782340492,136.392333984375,idle
13,0.002736019729664693,135.767333984375,idle
