second,cpu,memory,phase
1,0.31406719155127594,130.736083984375,idle
2,0.11609667503561952,134.986083984375,idle
3,0.015952519841215176,135.78302001953125,idle
4,0.11056072148064879,136.5174560546875,cpu
5,0.008276604214772795,136.5018310546875,cpu
6,0.013477328206234856,136.3612060546875,cpu
7,0.01426819363523138,136.4080810546875,cpu
8,0.015465829654689057,136.4080810546875,cpu
9,0.17347443633934032,295.97088623046875,memory
10,0.012509099336384168,295.83026123046875,memory
11,0.017539506968254757,295.79901123046875,memory
12,0.030603737072869227,296.06463623046875,stopped
13,0.009993844570360762,296.04901123046875,stopped
